,Names of Company,Name of City-Country
148,The Wall By Elham,Pune - India
149,Veez Control Solutions,Margao - India
150,Amit Engg. Works,Jalandhar - India
151,Nutek Engineering,Chennai - India
152,Fab India,New delhi - India
153,Voody India LLP,Mumbai - India
154,Jawahar Refrigeration,Indore - India
155,"Tidong Power Generation Private Limited, Starkraft",New delhi - India
156,Mamram Limited,New delhi - India
157,Bird Infratech,Dehradun - India
158,Artizen Interiors Private Limited,Bengaluru - India
159,Sourcing India Inc,New delhi - India
160,Cygni Energy Private Limited,Hyderabad - India
161,Lifestyle Accessories India Private Limited,Mumbai - India
162,Weldone Water Systems,Chennai - India
163,Bharat Construction Company,Mumbai - India
164,no_name,
165,Vishwa Enterprises,Chennai - India
166,Bhanu Tech Solutions,Lucknow - India
167,Genesis Interiors Private Limited,New delhi - India
168,SGK Construction,Dharapuram - India
169,Infra Green Carrier,Mahoba - India
170,The Grid Interior,Palghar - India
171,Genesis India Exports,Chennai - India
172,Vijay Corrosion Technology,Ahmedabad - India
173,Sanjay Casting & Engineering Company,Kolkata - India
174,Cezar,Mumbai - India
175,PMI Process Systems,Bengaluru - India
176,Chhaya Builders Private Limited,Noida - India
177,Pravar Electronics,New delhi - India
178,Gloabal Hospitality & Management Solution,Raipur - India
179,Synesthesic Dimensions,Chennai - India
180,Central Tower Consultants,Kolkata - India
181,Pondy Eps Products Private Limited,Chennai - India
182,Embassy Industrial Parks Private Limited,Bengaluru - India
183,Nucon Products Private Limited,Pune - India
184,S Safety World,Rajkot - India
185,Shriram Electricals,Pune - India
186,PVV Infra Limited,Mumbai - India
187,Vanessa Homez,Gurgaon - India
188,PA Projects Private Limited,Singhbhum - India
189,Yasha Creations,Mumbai - India
190,Poonam Arts,Jaipur - India
191,Bengal Bitumen,New delhi - India
192,Vaibhav Inter Decor Private Limited,Bengaluru - India
193,New Airtech Systems,Palakkad - India
194,All Services Global Private Limited,Mumbai - India
195,B Furn,Coimbatore - India
196,Dinesh Interior Decorations,Bardhaman - India
197,Sublime Solutions Private Limited,Bengaluru - India
198,Faisal Roofing Solution India Private Limited,Raigad - India
199,AKCP Software Private Limited,Bengaluru - India
200,Ihb Infracon,Alwar - India
201,Crystal Pools,Pune - India
202,Promtech Brass Industries,Jamnagar - India
203,Champion Jointings Private Limited,Mumbai - India
204,FINELOOK INTERIOR,Coimbatore - India
205,Concrete Planners,Gurgaon - India
206,Chowgule Construction Chemicals Private Limited,Mumbai - India
207,Buildrock Engineering Private Limited (BUILDROCK ENGINEERING PRIVATE LIMITED),Gurgoan - India
208,Aesthetic Arc Infratech Private Limited,Ahmedabad - India
209,Design Brandable,Coimbatore - India
210,Lansteel Projects Private Limited,Kanchipuram - India
211,Allegra Designs Private Limited,Kochi - India
212,Aerolam Insulations Private Limited,Ahmedabad - India
213,Bond Interiors International Private Limited,Thiruvananthapuram - India
214,Sarvel Cool Tech,Chennai - India
215,P P Prajapati,Ahmedabad - India
216,Smartec Build Systems Private Limited,Hyderabad - India
217,Plomeria Engineers,Kochi - India
218,Vanlax Interior Design Solutions,Pune - India
219,Parth Infrastructure Private Limited,Porbandar - India
220,Interior Furniture,Chennai - India
221,Magic Space Designs,Ahmedabad - India
222,Prerna Constructions Private Limited,Agra - India
223,YMW Solutions Private Limited,Dhanbad - India
224,Golden Aluminium,Belgaum - India
225,Constro Systems & Engineers Private Limited,Mumbai - India
226,Suman Creation,Kolkata - India
227,"Narayn Art and Craft, Narayn Art (Best Artists in Ahmedabad)",Ahmedabad - India
228,21st Century Builders & Engineers,Gurgaon - India
229,Mcon Rasayan Private Limited,Mumbai - India
230,R.K. Hardware & Sanitary Store,Guwahati - India
231,Estate Lookup Interiors,Kolkata - India
232,i-Arch,Pune - India
233,Mk Sound Designs LLP,Mumbai - India
234,Jaypeetex Engineering Private Limited,Mumbai - India
235,AK Building Repairs,Thane - India
236,JMC Projects India Limited,Mumbai - India
237,Unique Civitech Systems Private Limited,Chennai - India
238,Indo Asian Housing Corporation Limited,Hyderabad - India
239,Karni Interiors,Mumbai - India
240,Skylon Engineers Private Limited,Vadodara - India
241,Acmeview Interior Solutions Private Limited,Mumbai - India
242,Excel Insulation,Bengaluru - India
243,DPS Power Control System,Gautam buddha nagar - India
244,Ask Insulators Private Limited,Ahmedabad - India
245,International Women Polytechnic,New delhi - India
246,no_name,
247,Technostrength Private Limited,Sangareddy - India
248,Shiva Global Environmental Private Limited,Delhi - India
249,Dwarka Fabricators,Nashik - India
250,DeStyle City,Mumbai - India
251,Ittina Properties Private Limited,Bengaluru - India
252,Ekra Decor,New delhi - India
253,Classic Insulations,Bengaluru - India
254,MI Studio LLP,Ahmedabad - India
255,Alpines Technoquip Private Limited,Ahmedabad - India
256,Struct Rehab India Private Limited,Bengaluru - India
257,Ria Decors Pvt. Ltd.,Chennai - India
258,Design Icon,Mumbai - India
259,A.L. Sudershan Constructions Limited,Secunderabad - India
260,Balaji Engineers,Kolhapur - India
261,Max Tech Solutions,Chennai - India
262,Meshwork Design,Mumbai - India
263,Enertech Comnet Private Limited,Hyderabad - India
264,S. R. Turnkey Solutions,Mumbai - India
265,Vinova Energy Systems Private Limited,Hosur - India
266,Kumar Interior,Thane - India
267,Associated Power Structures Private Limited,Vadodara - India
268,9th Corner Inc.,New delhi - India
269,Shree Navkar Sales,Ahmedabad - India
270,Vinayak Interior,Mumbai - India
271,Composite Mouldings,Navi mumbai - India
272,S.M.N Spider Cline,Chennai - India
273,Worldwide Chandak Group,Chennai - India
274,Veterans Interiors,Bengaluru - India
275,Steel Form Structurals,Bengaluru - India
276,Dezine Innovation,New delhi - India
277,Emit Electric Private Limited,Bengaluru - India
278,Sushila Industries,Mumbai - India
279,Kamdar Private Limited,Mumbai - India
280,Palekkat Builders-Interior Designers in Malappuram,Malappuram - India
281,Innofitt Systems Private Limited,Mumbai - India
282,Home 2 Decor,Thane - India
283,Sai Interiors And Decorators (Handikrafts Sourcing),Bengaluru - India
284,EKK Infrastructure Limited,Ernakulam - India
285,Dr. Raviraj Vastu Spiritual Services Private Limited,Thane - India
286,Astha 1 Call Solutions Private Limited,Navi mumbai - India
287,Asian Tradecon Limited,Mumbai - India
288,Aura Synergy India Private Limited,Delhi - India
289,Krishna Marble Town,Banaskantha - India
290,Vikas Bhujbal Design,Mumbai - India
291,Kansal Colour Roofings India Private Limited,New delhi - India
292,Emotions,Gorakhpur - India
293,Endee Shelters and Properties Private Limited,Chennai - India
294,Space Interior,Mumbai - India
295,CD Mart Inc.,New delhi - India
296,Kalburgi Cement Private Limited,Raigad - India
297,Swachh Secure & Techno Services,New delhi - India
298,Sobha Interiors (Sobha Limited),Bengaluru rural - India
299,Chaudhary Waterproofing Company,Mumbai - India
300,METASIS EQUIPMENTS PRIVATE LIMITED,Pune - India
301,Killickson'S Prefads Manufacturing Company,Coimbatore - India
302,The Wadhwa Group,Mumbai - India
303,Ambient Controls Private Limited,Bengaluru - India
304,Build Healer,Bengaluru - India
305,Sushila Overseas,Tonk - India
306,Safe Private Limited,Mumbai - India
307,Transelectric Infrastructure Private Limited,Anantapur - India
308,Strawcture Eco Private Limited,New delhi - India
309,Educe Micro Research,Bengaluru - India
310,Premium Global Realty India Private Limited,Indore - India
311,Omaxe Limited,New delhi - India
312,DFS Services,Bhopal - India
313,Vani Crafts,New delhi - India
314,Sj Promaan,Mumbai - India
315,Sanju Abrasives,Bengaluru - India
316,Neo Heights Builders and Promoters Private Limited,Bengaluru - India
317,Krimaka Packing Systems Private Limited,Agra - India
318,MNF Metals & Forming Private Limited,New delhi - India
319,Rebuild Technologies Services Private Limited,Thane - India
320,IMI Engineers,Agra - India
321,T & S Technical Services,Nashik - India
322,Sandesh Power,Bhubaneswar - India
323,Anil Badkar Architects Interior Consultants,Mumbai - India
324,Euroteck Environmental Private Limited,Telangana - India
325,Sun Design's & Interior's Private Limited,Karnal - India
326,Ascent Total Solution Private Limited,Navi mumbai - India
327,Three C Universal Developers Private Limited,Noida - India
328,no_name,
329,Decorrazo Interior and Furnishing Private Limited,Chennai - India
330,Ajantha Arts & Crafts,Madurai - India
331,Akrati Architects,Jaipur - India
332,Classic Industries,Nagpur - India
333,Ryker Base Private Limited,Panch mahals - India
334,Landmark Aquatec Private Limited,Mumbai - India
335,Essem Engineering,Vadodara - India
336,Bedrock Chem Infra LLP ,Palghar - India
337,Sneha Insulation Private Limited,Bharuch - India
338,Mapei Construction Products India Private Limited,Bengaluru - India
339,Basant Interiors,Guwahati - India
340,Shricom Office Automation Private Limited,Satara - India
341,Marthwada Constructions Private Limited,Aurangabad - India
342,V.N.Interiors,Coimbatore - India
343,Fire Engineering Technology,New delhi - India
344,Indo Fire Safety Solutions,Pune - India
345,Descent Lining Works,Vapi - India
346,Banquet Art,Bengaluru - India
347,Technonicol India Private Limited,Mumbai - India
348,Buildwell Projects India Private Limited,Bengaluru - India
349,Eden Energy India Private Limited,Ahmedabad - India
350,Federation Of Electrical Contractors Association Of Maharashtra,Pune - India
351,Rishi Video Wall,Mumbai - India
352,"Amritaa Wind Technologies, Renewable Energy Wind and Solar (Renewable Energy Projects Wind / Solar - LSP, Project Executions, Operations, Sale Of Components)",Tiruppur - India
353,EEternal Designs,Thane - India
354,Luxerior Interior Designs,Mumbai - India
355,VKP Engineering,Chennai - India
356,Reacon Engineers India Private Limited,New delhi - India
357,Covai Security Solutions,Coimbatore - India
358,Lohaar Engineering and Construction Private Limited,Nainital - India
359,J.R. Coloniser & Associates Private Limited,Agra - India
360,CG Infra,Coimbatore - India
361,Ananya Creations Limited,New delhi - India
362,Hive Coimbatore,Coimbatore - India
363,Nirali Constructions,Ahmedabad - India
364,Shri Bagtesh Furniture,Bengaluru - India
