,Names of Company,Name of City-Country
141,Technovision Engineering & Services India Private Limited,Mumbai - India
142,Metaloft Industries Private Limited,Bhiwadi - India
143,Brunia Tech,Mumbai - India
144,Moonlight Metal Products,Jamnagar - India
145,Sharnark Industrial Private Limited,Nagpur - India
146,Gladius Technologies,Pune - India
147,N.M.S. Enterprises,Mumbai - India
148,Crescent PPG Lining Private Limited,Bhopal - India
149,Lansteel Projects Private Limited,Kanchipuram - India
150,Gayatri Rubber and Fiber Plast Industry,Ahmedabad - India
151,Jay Ambe Lamination,Gandhinagar - India
152,Divine Laser Technologies,Ahmedabad - India
153,Visha Industrial Plastics,Kanchipuram - India
154,Vaishnu Engineers Private Limited,Noida - India
155,Subaero Precision Machining Private Limited,Mumbai - India
156,Alumax Brass Products,Jamnagar - India
157,Sree Ram Sparkers,Coimbatore - India
158,Krishna Crane Engineers,Ahmedabad - India
159,Nanocoat Chemicals Private Limited,Secunderabad - India
160,Siddhivinayak Consultancy Services,Thane - India
161,Hydrotech Engineers,Secunderabad - India
162,Icon Technocast,Rajkot - India
163,Industrial Tube Company,Mumbai - India
164,no_name,
165,Yantransh Global Private Limited,Rajkot - India
166,SES Engineering Works,Ponda - India
167,Crown Engineers,Mohali - India
168,Sri Ram Enterprises,Trichy - India
169,Gala Finishing Solutions Private Limited,Thane - India
170,Redhan Engineering Services LLP,Mumbai - India
171,Dakar Services Private Limited,Purbo burdwan - India
172,P. S. Gajjar Engineers & Pattern Makers,Ahmedabad - India
173,Fashion Design Portfolio,Bengaluru - India
174,Hi-Tech Toolings,Bengaluru - India
175,Guru Poly Products,Hosur - India
176,ASC Power Private Limited,Mumbai - India
177,Gautam Brass,Jamnagar - India
178,Mannesmann Dematic India Private Limited,Pune - India
179,Raja Ji Grandsons Industries,Greater noida - India
180,General Engineering Corporation,Pune - India
181,Vasanth Weld Industries,Ananthapur - India
182,Gordon Electrocoat Private Limited,Nashik - India
183,Dharam Udyog,New delhi - India
184,Capso Engineers,Vadodara - India
185,Nayagi Industrial Technologies,Bengaluru - India
186,Diabonic Honing Ledges and Tools Private Limited,Bengaluru - India
187,Abba Engineering,Mumbai - India
188,Avanti Consultancy & Marketing Services Private Limited,Mumbai - India
189,Akshit Enterprise,Jamnagar - India
190,Turnkey Electrical Engineers Private Limited,Mumbai - India
191,Pro Cad-Cam Services,Mumbai - India
192,Namakhal Transport Carriers Private Limited,Chennai - India
193,Sana Engineering Works,Thane - India
194,Rohini Industries,Nashik - India
195,Newgenn India,Mumbai - India
196,G R Infraprojects Limited,Gurgaon - India
197,Amarex Metals,Mumbai - India
198,Nebula Technologies,Bengaluru - India
199,Mass Polymers,Bengaluru - India
200,Mirra Hitech Engineering,Coimbatore - India
201,Cheharkrupa Engineers,Ahmedabad - India
202,Chandan Tech Solutions Private Limited,Pune - India
203,Asia Infotech,Ahmedabad - India
204,Lahoti Plastic Moulders Private Limited,Mumbai - India
205,Shyam Enterprise,Jamnagar - India
206,Vaska Tech,New delhi - India
207,Ams Narula Labels Private Limited,Noida - India
208,Precitech Engineering,Palghar - India
209,Rajameena Industry,Chennai - India
210,Orange Automation,Coimbatore - India
211,Axis Carriers & Cargo Movers,Port blair - India
212,Sunrise Export,Jamnagar - India
213,Star Extrusion,Mumbai - India
214,SM World Engineers Private Limited,Faridabad - India
215,D.S Electrical Works,Nagpur - India
216,Shine Brighters Private Limited,Kanchipuram - India
217,Shri Kara Engineering Limited,Coimbatore - India
218,Shree Vishot Brass Industries,Jamnagar - India
219,Globworld Industries,Rajkot - India
220,Omkar Engineering Aid,Mumbai - India
221,Dean Moulds,Mumbai - India
222,Goldstar Brass Industries,Jamnagar - India
223,CLF Structures Private Limited,Chennai - India
224,Omkar Metal Industries,Jamnagar - India
225,Akash Electroplating,Pune - India
226,Asian Ferro Tech,Coimbatore - India
227,Array Metric Private Limited,Bengaluru - India
228,Reliable Metal India,Jamnagar - India
229,Nucon Aerospace Private Limited,Hyderabad - India
230,Laxmi Industries,Rajkot - India
231,Boghi Engineering & Software Technologies Private Limited,Hyderabad - India
232,Hitech Digital Solutions LLP,Ahmedabad - India
233,Solid Vision,Mumbai - India
234,Sharda Forging And Stamping Private Limited,Ghaziabad - India
235,PSG & Sons'Charities Metaurgy & Foundary Division,Coimbatore - India
236,E Tec India,Mumbai - India
237,Patel Technomation Private Limited,Rajkot - India
238,Panse Lasers,Pune - India
239,Fabonix Technologies Private Limited,Bhubaneswar - India
240,Subhlaxmi Special Steel Private Limited,Ahmedabad - India
241,Metal Forge India,Mumbai - India
242,Sadhana Precast Concrete Moulds,Bengaluru - India
243,Innova Tech Engineering & Solutions,Coimbatore - India
244,SR Service Center,Mumbai - India
245,PG Electroplast Private Limited,Noida - India
246,no_name,
247,Swastik Packers & Movers,Ajmer - India
248,Die & Mould Solutions,Aurangabad - India
249,Imperiall Technoforge Private Limited,Rajkot - India
250,Vignesh Machine Tools,Chennai - India
251,Rabitech Technologies Private Limited,Kochi - India
252,Hari Om Tool Industries,Hyderabad - India
253,Marvel Extrusions,Jamnagar - India
254,Premier Industries,Bengaluru - India
255,K M Industries,Jamnagar - India
256,Precibalance Dynamic Balancing Machines Private Limited,Chennai - India
257,Sonagra Industries,Jamnagar - India
258,Monika Industries,Jalandhar - India
259,New Global Glass Industries,Meerut - India
260,W. J. T. Trading Company,Mumbai - India
261,Shreeram Aerospace & Defence LLP,Rajkot - India
262,Mec Exports Corporation,Jalandhar - India
263,Nova Engineering Works,Ahmedabad - India
264,Fab India,New delhi - India
265,Trimurti Engineering Services,Vadodara - India
266,Aasic Plastic,Trichy - India
267,Insight Glass Solution,Chennai - India
268,Laxmi Civil Engineering Services Private Limited,Kolhapur - India
269,Various Machining Solutions LLP,Rajkot - India
270,Mould Laser Welding,Kanchipuram - India
271,Modoplast Company,Kolkata - India
272,Writer Corporation,Mumbai - India
273,Steel Carriers Infrastructure Private Limited,Mumbai - India
274,Kemrock Industries & Exports Limited,Vadodara - India
275,Crest Metal Engineering LLP,Mumbai - India
276,Encircle,Ahmedabad - India
277,India Packers and Movers,Gautam buddha nagar - India
278,S. S. Jolly Industries,Ludhiana - India
279,ARG Packaging Solution,Ghaziabad - India
280,CCAP Limited,Kolkata - India
281,Metronics Stahl,Mumbai - India
282,Forbes Gokak Limited (Forbes Bradma Automation),Mumbai - India
283,Tumic Fluid Corporation,Pune - India
284,Vaid Engineering Industries,New delhi - India
285,S.K.TECHNOLOGYS,Coimbatore - India
286,Excellent Coaters,Faridabad - India
287,Ampees Enterprises,Mumbai - India
288,Sunikh Precision Private Limited,Bengaluru - India
289,Questy,Vadodara - India
290,Amrit Udyog,Faridabad - India
291,Navnit Brass Industries,Jamnagar - India
292,Patel Enterprise,Ahmedabad - India
293,Anubhavi Automation,Bengaluru - India
294,Associated Engineers,Vadodara - India
295,Coimbatore Service,Coimbatore - India
296,Metal Gems,Mumbai - India
297,Top Enterprises,New delhi - India
298,UKKO Organic & Energy Private Limited,Mumbai - India
299,Sai Engineering,Chennai - India
300,Assist Design Automation Private Limited,Pune - India
301,K T Polymers,Ahmedabad - India
302,Uttam Foundries & Ispat Private Limited,Ambala - India
303,S. N. Toolings,Coimbatore - India
304,Weldone Water Systems,Chennai - India
305,Fabrication World,Indore - India
306,Radix Forte Private Limited,Chennai - India
307,Balaji Engineering Equipments,Coimbatore - India
308,Bhagyadevi Factory (Foundry Division),Howrah - India
309,Shrine Steelmelt Private Limited,Rajkot - India
310,Jay Ambe Enterprise Industries,Rajkot - India
311,Bell Printers Private Limited,Sivakasi - India
312,Eata Plast Fabrics,Mumbai - India
313,Stardust Impex Private Limited,Mumbai - India
314,Gomes Engineering Works,Mumbai - India
315,ESC Works Private Limited,Ahmedabad - India
316,Spm Machines (India),Navi mumbai - India
317,Plasma Spray Processors Private Limited,Raigad - India
318,Shreejee Glass & Glazing,Ghaziabad - India
319,Smiths & Founders (India) Limited,Bengaluru - India
320,Cosmo Royalz Music Entertainment,Panchkula - India
321,Atommech,Bangalore rural - India
322,Aroma Engineering Company,Rajkot - India
323,Yeshwant Industries,Aurangabad - India
324,Arabind Polymers,Kochi - India
325,Peacemedia,Mumabi - India
326,Arham Agencies,Mumbai - India
327,Buildwell Projects India Private Limited,Bengaluru - India
328,no_name,
329,Abhisan Engineering,Pune - India
330,Hi-Tech Engineering Services,Ahmedabad - India
331,Vraj Precision Industries,Jamnagar - India
332,B M Engineering,Jamnagar - India
333,Kanwal Engineering Works,New delhi - India
334,Revolution Outsourcing,Ahmedabad - India
335,BDN Fasteners India Private Limited,Noida - India
336,Ranjit Hydraulics Engineers,Ludhiana - India
337,The Bamboo Bae,Sahibabad - India
338,Versatile Instruments & Controls,Mumbai - India
339,Global cadd Services,Hosur - India
